country_num,Country Name,Country Code,mig_stock
1,Afghanistan,AFG,5055219
2,Albania,ALB,1194524
3,Algeria,DZA,1832881
4,American Samoa,ASM,3581
5,Andorra,AND,8381
6,Angola,AGO,661595
7,Antigua and Barbuda,ATG,72895
8,Argentina,ARG,996045
9,Armenia,ARM,968686
10,Aruba,ABW,17364
11,Australia,AUS,579519
12,Austria,AUT,510454
13,Azerbaijan,AZE,1215260
14,"Bahamas, The",BHS,44235
15,Bahrain,BHR,63689
16,Bangladesh,BGD,7796958
17,Barbados,BRB,99754
18,Belarus,BLR,1646080
19,Belgium,BEL,560934
20,Belize,BLZ,58683
21,Benin,BEN,657594
22,Bermuda,BMU,16726
23,Bhutan,BTN,47077
24,Bolivia,BOL,880525
25,Bosnia and Herzegovina,BIH,1638113
26,Botswana,BWA,82914
27,Brazil,BRA,1690461
28,Brunei Darussalam,BRN,47460
29,Bulgaria,BGR,1475224
30,Burkina Faso,BFA,1518063
31,Burundi,BDI,466962
32,Cabo Verde,CPV,237921
33,Cambodia,KHM,1114226
34,Cameroon,CMR,400165
35,Canada,CAN,1275773
36,Cayman Islands,CYM,5320
37,Central African Republic,CAF,728216
38,Chad,TCD,411961
39,Channel Islands,CHI,26639
40,Chile,CHL,628577
41,China,CHN,10058110
42,Colombia,COL,2745620
43,Comoros,COM,61055
44,"Congo, Dem. Rep.",COD,1849863
45,"Congo, Rep.",COG,292508
46,Costa Rica,CRI,143284
47,Cote d'Ivoire,CIV,1065361
48,Croatia,HRV,1057020
49,Cuba,CUB,1598694
50,Curacao,CUW,75131
51,Cyprus,CYP,179282
52,Czech Republic,CZE,484685
53,Denmark,DNK,259278
54,Djibouti,DJI,18082
55,Dominica,DMA,67530
56,Dominican Republic,DOM,1488325
57,Ecuador,ECU,1100472
58,"Egypt, Arab Rep.",EGY,3444831
59,El Salvador,SLV,1559932
60,Equatorial Guinea,GNQ,133910
61,Eritrea,ERI,645445
62,Estonia,EST,201868
63,Eswatini,SWZ,94196
64,Ethiopia,ETH,847712
65,Faroe Islands,FRO,16207
66,Fiji,FJI,209370
67,Finland,FIN,292426
68,France,FRA,2072313
69,French Polynesia,PYF,3906
70,Gabon,GAB,83129
71,"Gambia, The",GMB,106525
72,Georgia,GEO,875753
73,Germany,DEU,4141718
74,Ghana,GHA,865202
75,Greece,GRC,1000069
76,Greenland,GRL,20948
77,Grenada,GRD,69094
78,Guam,GUM,2774
79,Guatemala,GTM,1071030
80,Guinea,GIN,467024
81,Guinea-Bissau,GNB,105942
82,Guyana,GUY,456100
83,Haiti,HTI,1257053
84,Honduras,HND,790989
85,"Hong Kong SAR, China",HKG,1059311
86,Hungary,HUN,705169
87,Iceland,ISL,39875
88,India,IND,16443947
89,Indonesia,IDN,4247592
90,"Iran, Islamic Rep.",IRN,1237343
