country_num,Country Name,Country Code,Destination_down_Source_across,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
1,Afghanistan,AFG,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015584319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038633825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000594852,0,0,0,0,0,0,0,0
2,Albania,ALB,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017750302,0,0,0,0,0,0,0,0,0,0.000715645,0,0,0,0,0,0,0,0,0,0,0,0,0.012490776,0,0,0,0,0,0,0,0,0,0.000126276,0,0,0,0,0,0,0,0,0,2.80E-05,0,0,0,0,5.50E-05,0,0.031868801,0,0,0,0,0,0,0,0,0,0,0.000996924,0,0,0,0,0,0,0,0,0.002772826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022228932,0,0,0,0,0,0,0,0,0,0,0,0.00843262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25E-05,0,0,0,0,0,0,0.034394629,0,0,0,0,0,0.004696207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000651103,0,0,0,0,0,0,0,0.000789384,0,0,0,0,0,0,0,0,0,0
3,Algeria,DZA,Algeria,0,0,0,0,0,0,0,0,0,0,0.00028817,0.00032716,0,0,0.003375779,3.55E-05,0,0.000102668,0.000267411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000496954,0,0,0.000463636,0,0,6.79E-05,0,0.015641635,0,0,0,0.000123902,0,0,0,0,0,0.000659524,0.017531247,0,0,0,0,0.000100645,0,0.0006817,0,0,0.000480116,0,0,0.000629219,0.000538529,0,0,0,0,0.000376897,0.000158345,0.00058196,0,0,0,0,0,0,0,0,0,0,0,0,6.54E-05,0.000682975,0,0.007869888,0,0,0,0.000459202,0,0.000211122,0.005893176,4.51E-05,0,0,0,6.58E-05,0,0.011384398,0,0,0,0.003010045,0,0,0.025733814,0,0,0,0,0,0,0.000929872,0,0,0,0,0,0,0,0,0,0,0,0,0.000356886,0,0,0,0,0.000390281,0,0,0,0,0.000484317,0,0,0,0.014329268,8.95E-05,0,0,0,0,0,0.000163984,3.52E-05,0,0,0.011551155,3.60E-05,0.000146791,0,0,0,0,0.025103243,0.000387864,0,0,0,0.000440929,0,0,0,0,0.011419529,0.000155204,0.000195713,0.000110991,0,0,0,0,0,0.001586914,0,0.000533961,0.000323004,0.000792846,0.000236585,0,0.000638307,0,0,0,0,0.000871919,0.000185653,0,0,0,0,3.25E-05,0.003426084,0.000333719,0.000724399,0,0,0,0,0,0,0.016471543,0.00388984,0,0
4,American Samoa,ASM,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002249606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001273638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026482,0,0,0,0,0,0,0,0.229899488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029416974,0,0,0,0,0,0,0,0,0,0,0.00118556,0,0,0,0,0.000111347,0,0,0,0,0
5,Andorra,AND,Andorra,0,0,0,0,0,0,0,0.000710811,0,0,0.00010526,0,0,0,0,0,0,0,0.000356548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000316588,0,0,0,0,0,0,0,0,0,0,0,0,0.000404971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00200018,0,0,0,0,8.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66E-06,0,0,0,0,0,0,0.000140913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157595,0,0,0,0,0.000221457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52E-05,0,0.005169924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015449831,0,0,0,0,0,0,0,0.000147079,0.000116468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202185,3.17E-05,0.000301959,0,0,0,0,0,0,0,0,0
6,Angola,AGO,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262683832,0,0,0,0,0,0.000524321,0,0,0,0,0,0.139526549,0.024577106,0,0.00025719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004890541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001773511,0,0.031425423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040552216,0,0,0,0,0.011972416,0,0,0.643135219,0,0,0,0,0,0,0,0,0,0,0,0.045692071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00751615,0
7,Antigua and Barbuda,ATG,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0.000287952,1.21E-05,0,0,4.52E-05,0,0,0.003087595,0,0,0.00023857,0,0.00083702,0,0,0,0,0,0,0,0,0,0,0,0,0.000346457,0,0,0,0,0,1.36E-05,0,0,0,0,0,0,0,1.25E-05,0.000252892,0,0,0,0,0.07167185,0.001222179,0,2.90E-06,0,0,0,0,0,0.001577187,0,0,0,2.07E-05,0,0,0,0,2.03E-05,3.58E-05,0,0,0.002822242,0,0,0,0,0.014472703,2.63E-05,8.85E-06,0,0,0,4.93E-06,0,0,0,0,0,0,2.29E-05,0.00385522,1.89E-05,0,0,0,0,0,0,0,0,0,0,0,6.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21E-07,0,0,0,0,0,0,0,0,0,0,1.59E-05,0,1.49E-05,0,0,3.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001025135,0,0,0,0,4.92E-05,0,8.27E-06,0,0.012890708,0.012650326,0,0.016735803,0,0.000196681,0,0,3.20E-05,0,0,0,0,0,0,0.001976183,0,0,0,0.001926782,0,0,0,0,0.000210496,0.000883397,0,0,0,5.18E-05,0,0.177187424,0,0,0,0
8,Argentina,ARG,Argentina,1.78E-06,6.45E-05,0.000114574,0,0.005607923,0.000122431,0,0,0.000969354,5.76E-05,0.002034446,0.003273556,8.23E-07,9.04E-05,0.000188416,6.67E-06,0.000230567,0.000191364,0.002189206,0.000170407,3.04E-06,0,2.12E-05,0.547151983,3.66E-06,6.03E-05,0.030299427,0.000147493,0.00022844,1.05E-05,4.28E-06,0.000290012,4.85E-05,0.000132445,0.001616275,0,0,0,0,0.3517612,0.0015832,0.018499647,0,2.16E-06,0.000157261,0.004438737,3.10E-05,0.001311233,0.002164892,0,0.001823942,0.003837544,0.001673879,0,0.000192507,0.006991752,0.009893028,7.95E-05,0.000305783,9.71E-05,1.55E-05,0.001020469,0,3.89E-05,0,9.55E-06,0.000601862,0.004722742,0,2.41E-05,1.88E-05,6.97E-05,0.002496549,0.000114424,0.001551893,0.000716059,0.000159203,0,0.000473376,4.92E-05,4.72E-05,1.97E-05,0.000245813,0.00035778,3.21E-05,0.001334432,0.000626959,0.000105571,2.24E-05,0.000168102,2.79E-05,0.000406044,0,0.004819277,0.048840113,2.46E-05,0.00437298,9.75E-05,3.75E-05,5.16E-05,0,0.031512749,0.003498009,0,6.64E-05,1.28E-05,0.000440596,0.000321815,0.001143008,0,0.000105981,0.000446825,0.020518082,0.00062176,0.001383744,0,4.56E-05,8.44E-06,4.33E-05,0.000313381,7.00E-06,9.23E-05,0,6.33E-06,6.10E-06,0.000968548,0.000121695,0.000461666,0.000186002,0.000122985,0.00472403,7.58E-05,1.68E-05,3.05E-06,3.12E-05,9.97E-07,0.001380382,0.044436005,1.36E-05,0.000442933,0.000416757,3.36E-05,0.00273299,0,0.001386941,0.000876524,1.05E-05,0,0.005324846,2.45E-05,0.7862862,0.161093939,0.000599152,0.001767228,0.002965167,0.000184933,0.000330033,0.000305227,0.000248697,2.14E-05,7.43E-06,0.006055101,0,0.000264479,0.000714978,1.38E-05,0,5.60E-05,0.000165718,0,0.000329965,0.006296655,0,4.43E-06,0.000434571,0,0.070128488,9.84E-06,0,0,0,0,3.96E-06,3.85E-05,0.001793725,0.003098047,0.000171944,0,3.10E-05,0.000159073,0,7.63E-06,4.83E-05,9.42E-05,7.76E-05,0.000292305,5.42E-05,0,0.000967118,1.55E-05,0.000889862,0.00013882,0.000629411,0.008937225,0.392335938,1.30E-05,0.000884858,0.014138857,2.86E-05,0,5.11E-05,8.19E-07,3.59E-06,2.84E-05
9,Armenia,ARM,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0.071963201,0,0,0,0,0.00036025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046581627,0.000163942,0,0.001652886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007216269,0,0,0,0,0,0,0,0,0.000214443,0,0,0.101510698,0,0,0,0,0,0,0.001280218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001872796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001792359,0,0,0,0,0,0,0,0,0.000595473,0.003376495,0,0,0,0.00044001,0,0,0,0,0.000513736,0,0,0,0,0,0,0,0
10,Aruba,ABW,Aruba,0,3.35E-06,1.64E-06,0,0,0,6.86E-05,7.13E-05,0,0,2.42E-05,2.55E-05,0,6.78E-05,0,1.28E-07,0.000110271,0,7.13E-05,0,0,5.98E-05,0,1.02E-05,0,0,7.99E-05,0,6.78E-07,0,0,1.26E-05,0,0,4.86E-05,0.00018797,5.49E-06,0,0,4.45E-05,0.000112745,0.003579155,0,0,0,0.000390832,0,9.46E-07,8.19E-05,0.03288922,0,0,3.86E-06,0,0.001584481,0.002926108,0.000155388,1.16E-06,1.92E-06,0,0,0,0,4.72E-06,0,4.78E-06,3.42E-06,2.51E-05,0,0,9.39E-06,0,1.62E-05,3.47E-06,9.00E-06,0,0.003748517,0,9.34E-06,0,0,0.000635825,0.00130623,1.26E-05,4.44E-05,2.84E-06,2.51E-05,2.02E-05,1.37E-05,4.04E-06,0,3.89E-06,0,5.62E-06,1.58E-05,0.000710596,4.73E-06,0,0,5.73E-06,0,6.21E-06,1.65E-06,0,4.75E-06,0,7.74E-07,2.51E-06,4.78E-05,3.05E-06,0,0,0.000512952,0,0,1.38E-05,0,2.53E-05,0,0,8.75E-07,0,0,0,0.000323159,0,0,0,0,0,0,1.64E-06,0,0,0,9.97E-07,0.004583065,0,0,0.00016987,2.60E-06,3.06E-06,3.54E-06,0,5.25E-06,0,6.56E-07,0,0.000119828,0,3.35E-06,0.000767207,0.000169176,3.26E-06,7.21E-05,1.39E-05,0,5.46E-07,8.21E-07,0.00012691,0,0.000302755,0,1.27E-05,0,9.86E-07,0,0,2.37E-05,0.026767408,9.80E-06,5.84E-06,0,0,2.57E-05,0,2.83E-05,5.79E-07,0.000850521,0.000330487,1,0.002020455,4.95E-07,0.005750788,6.39E-06,2.02E-05,3.86E-07,0,3.10E-06,1.01E-06,0,0,1.61E-05,0.000328466,1.27E-06,4.61E-06,0,0,0,0,1.50E-06,0,1.27E-05,0.000203201,0,0,0,0.004431428,7.42E-07,0,0,0,0,0
