Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.223058133,2.055485928,0.186907631,17.06355004,21.18513773,-3.857808858,-1.655492522,-5.874439462,-0.418781726,6.16194332,12.91393144,6.81314995,27.13683528,-6.828727173,-14.07505557,16.94905601,7.816428712,-4.687638978,-8.804935635,8.920466621,-17.5903165,0.664175811,-0.415637599,7.611672202,18.50578004,-12.03318022,9.974455092,7.465254603,-0.907264204,0.923397979,5.253373308,4.399821673,-2.215282568,6.48977645,4.55871502,7.567071864,2.506331286
Africa Eastern and Southern,AFE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.032510152,0.765922801,0.422781217,0.254926363,1.135435757,0.352354123,0.506462034,0.062240814,0.136599125,-0.012056899,0.282588845,0.211011202,0.341443828,0.047393398,0.371551643,0.073699718,0.264570123,0.149220732,0.266145543,0.186701074,0.054015659,0.661493096,0.294373202,0.22616434,0.46994122,1.004954616,0.739426783,2.032867816,1.281102375,2.361286079,1.494281575,4.850309185,2.274341969,2.251382464,1.59759465,2.050488607,1.262037785,2.454725212,3.23571904,2.622296171,1.617113867,1.849926123,2.560759742,2.342134302,2.789411076,3.169597532,1.952933681,0.991785483,1.272290017,1.424519314,1.36176225,5.01205928,1.695913629,1.760089511
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02211926,-0.013397394,0.024180847,,,0.455360445,0.451889146,1.20311799,0.29302518,0.285440894,0.239801184,0.209664795,0.884000463,0.516606085,0.274796792,0.661572218,0.124495985,0.064993957,0.215925455,,
Africa Western and Central,AFW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.783804137,1.884057379,1.907493077,1.756565157,1.050630356,1.695193628,0.890522396,1.086550823,0.959249376,0.813937414,-0.189816506,0.541731613,0.448416675,0.508004242,0.258311301,0.648476864,0.187143246,0.924280885,0.875345484,2.471883373,0.702827334,1.00117924,1.148693834,1.135121437,1.630639771,0.327757638,0.36508739,0.518159284,-0.048132975,1.444187047,1.998411234,0.782126169,1.820543388,1.676784231,1.242709751,2.621264802,2.256452923,2.686178465,3.013543365,3.364419088,2.723279844,3.336835802,2.74347006,2.255600538,1.989059308,1.956009384,1.8272982,1.655975387,1.052949369,1.228531762,1.14717793,1.778296319,1.204459452,0.836211178
Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0.630975104,0.88370687,2.086485073,1.803662496,1.095005676,3.68013758,3.308572716,1.471968449,1.493756423,1.96044201,-2.981428692,6.266630536,3.466087528,5.236863254,3.837036558,8.52948884,2.398993967,5.382318076,17.12159065,40.16724856,9.62386615,24.0090757,11.40619191,20.08101444,9.329239296,-3.526657179,-0.072000996,-1.368762395,1.896313897,3.136660683,-3.8511115,-2.704873236,-1.143767779,-5.380130995,2.690005647,11.08133903,-0.340242829,-10.03837678,-8.125891109,-5.780813143,-3.848263987,-6.548542276,-6.320563843,-2.498839752
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,3.066661599,4.893212106,2.817723791,2.925485967,2.815941076,2.103152805,1.767895793,1.282641334,4.108775955,5.285432754,3.104827074,3.172708178,4.750174509,3.259767692,3.654851343,6.108979662,9.682070855,11.17064325,9.138131244,8.135336135,7.451354955,9.816284582,8.693038722,8.690533943,8.805091978,7.855448267,7.831090666,7.706217856,7.018651545,6.757906713,7.579342194,6.883977454
Andorra,AND,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.207102161,0.113503333,0.465786648,-0.910754215,-2.317461175,0.905182106,0.19681576,0.391713554,0.247273479,-0.039874231,-0.680969294,1.486215381,2.637481763,1.3339226,1.469491697,0.481610664,0.592857226,0.002629999,0.389205061,0.294517879,,0.379856279,0.290663059,0.788806161,1.116509532,0.010906699,0.519579164,1.126298003,1.339171546,0.536501394,0.473471071,0.693799493,0.666656868,1.144934862,1.199791014,2.340042493,3.599072967,3.849316045,3.077948701,2.043156006,1.66458463,1.080367262,1.342135106,1.196499743,0.869239776,1.172428509,2.170518912,1.344049971,1.658366605,1.327458577,1.20712481,2.218884892,2.235795347,1.948912601
United Arab Emirates,ARE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.134132773,0.738381451,0.742710556,0.080590964,0.013989607,0.108350617,0.257271595,0.451274584,0.164537297,0.206817088,0.223949268,-0.034337775,0.203892014,0.106393608,0.407195241,-0.544187527,0.324685539,0.128404884,0.520707069,0.093548785,-0.11370759,0.020254881,0.028017021,0.055297736,0.972936474,0.095015799,0.174814833,0.293169187,0.168220927,0.375516186,0.406054974,0.206851124,0.401686094,0.797088435,1.493664404,2.076377242,4.903625371,5.64824424,5.014761636,1.073921658,0.671243665,0.603603765,0.659371874,2.205879342,2.834037166,4.507887066,4.254887847,3.600343405,3.531041342,5.078153576,5.418824679,5.430419471,4.939654369,4.342888221
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.284224297,0.377464477,0.206489502,0.190792478,0.024738815,0.106009598,0.478175477,0.253605959,0.280742881,0.29746292,0.88095511,1.06384544,0.269252481,0.177920359,0.229226259,1.042530577,0.542162215,-0.017461488,0.903930866,1.341515906,1.298879263,1.285578854,1.936794516,1.179802812,1.411953029,2.17392759,2.553203406,3.127877939,2.438768962,8.460582171,3.665790595,0.806164135,2.198958195,1.294810869,2.505017516,2.649354415,2.381068545,2.251294236,2.689900965,1.206439226,2.675161719,2.044659979,2.8066719,1.779205536,0.96240665,1.977134618,0.584748941,1.789365041,2.232531577,1.485006876,1.266169243,1.368380832,2.402155349,3.69401868
Armenia,ARM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066593811,0.608291637,1.724422757,1.100209246,3.168053635,12.27077974,6.612580809,5.450433156,3.298067417,4.659499749,4.376570097,6.909902013,5.960106873,7.307314505,7.252332316,8.092349209,8.788694214,5.716037341,6.440668056,4.676727598,3.111931854,3.502114155,1.744737018,3.165367278,2.192573377,2.142047834,0.736361517,0.463408851,2.640302812,4.999915861,2.409578645
American Samoa,ASM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,2.838845345,-7.837940174,7.756522915,14.79907156,14.99553704,13.81996217,2.70492296,2.073587935,6.332596635,7.595693035,11.12795925,8.010191679,9.47107169,12.66102888,10.86491925,3.741765295,2.694455903,3.9658932,5.111108439,2.849585515,3.124275037,2.88365942,6.198876718,10.716137,16.61668578,10.34655816,12.68160905,10.19083833,10.82037967,22.14966302,23.30075163,9.859990605,6.05731633,7.219115983,5.434249697,9.406409031,7.00796527,3.355244191,7.93074036,6.5404082,9.879596726,12.17751936,7.761230857,7.527959879,18.1006036,16.15470929,14.78529943
Australia,AUS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.160746202,2.554655238,2.025313284,0.211550037,1.492412148,0.461468108,0.996866073,1.033980444,1.415154475,1.104504435,1.244250976,1.326516499,1.178263041,1.687262232,0.221289107,1.16175097,2.94263882,2.739123064,3.589231903,2.67549684,2.715816532,0.801308066,1.518132527,1.701973012,1.38116249,3.604046631,1.137173235,1.856583533,1.900950002,0.567408043,3.578599219,2.823052147,3.703067305,1.920995362,6.980716853,-3.606927925,4.082092962,5.197717937,4.277015978,3.115218929,3.094839434,4.688815155,3.720199337,3.453927666,4.304706644,3.470209018,3.560565952,3.636089515,4.250333048,2.781967875,1.353256055,2.024681946,4.161495042,1.880806481
Austria,AUT,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.735659453,0.802370662,0.661714942,0.546805322,0.505114356,0.198259244,0.213195512,0.188552238,0.230370203,0.254495408,0.292766484,0.462886559,0.292861108,0.300841352,0.170173666,0.244762997,0.185913992,0.31976448,0.335368714,0.438950267,1.025864496,0.746909037,0.905769497,0.621485618,0.612127824,0.451303371,0.800618395,0.943853783,1.27519631,1.525221452,2.808362046,1.538039424,2.715894218,2.630487866,2.68369655,25.83070261,3.144734688,17.80581135,1.46799597,3.581371969,-5.645396702,5.35812778,1.283002792,-0.302633479,0.389557041,-1.804095111,-7.239899042,3.381802756,-6.151192072,-2.852556176,-2.763320707,3.954093238,3.031433627,0.571627955
Azerbaijan,AZE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.65348699,19.74738056,28.13569005,23.0067972,11.13925587,2.46437455,14.35939227,32.46549896,55.07287666,54.36505091,33.79579783,21.38014047,13.9011035,8.161108317,6.547462364,6.337255133,6.80050012,7.596518679,3.532115987,5.888461767,7.626068377,11.88281715,7.016695984,2.977975891,3.121830561,1.187903872,-3.114734473,-5.677737106,0.349432505
Burundi,BDI,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.041197603,,0.166123341,0.144575373,0.063719451,0.076011909,0.017840706,-0.045659135,0.14584771,-0.038338821,0.500148584,1.143391787,0.088825529,0.280720857,0.120549786,0.046832717,0.12682003,0.120879772,0.110552499,0.050921501,0.11089421,0.076452053,0.055407891,0.050464886,0.000427861,0.198107378,,,,-0.058805185,,-0.001304856,,,0.004882857,0.052340421,0.002481105,0.036885807,0.237816297,0.0195573,0.038411913,0.150056711,0.025925039,4.761250642,3.390075785,0.237127555,0.002097065,8.114501839,0.249834168,1.175605937,0.801085827,0.806162274,0.757355123,1.291669013
