Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.46108271,51.99550766,70.8656631,69.86812484,74.05712601,72.75147223,73.99062971,73.1146189,73.73648465,67.94167179,71.64906341,80.08965238,87.011492,99.43945066,107.8622928,99.24431525,100,99.85556549,95.06219158,96.84674778,100.9779385,103.9995795,102.6196433,99.31402038,98.89441772,102.3971422,102.2787958,100.2657085,117.5145675,126.5428236
American Samoa,ASM,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,128.0100465,132.3365411,145.1036757,149.8855178,154.1649468,162.3733609,160.7983806,141.4258467,131.9415576,132.8534819,136.202185,131.4257232,133.1005209,131.0662889,139.030066,117.0447067,113.435001,115.4033477,115.3887814,119.516559,116.9948902,114.6657597,116.9818939,117.7623554,114.075229,110.9389586,108.3424829,106.1583474,98.22103869,95.37684607,99.83967035,100,96.66613412,100.7412317,99.9648805,100.3129002,110.3506829,111.6982422,111.5422728,108.1895026,111.8904434,112.3142375,108.5467813,115.994864,113.903565
Australia,AUS,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,92.31710875,100.2602222,100.653778,98.60005412,101.7167429,85.60703946,74.88026553,74.72083072,82.65218329,88.70228944,86.55392661,85.17359117,76.9553301,71.63719974,75.21638416,73.52967146,80.38270895,79.96874152,73.25804251,73.51103637,70.44539767,67.57068841,70.86126956,79.37263561,85.42318577,87.96656846,87.2411894,92.33494804,90.37434452,87.59363614,100,106.9637935,109.0235565,103.4759899,98.3413287,89.82041289,91.00221372,93.78261965,89.96450386,86.03003688,85.33044793,90.53981354,90.7767729,90.34418946
Austria,AUT,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,97.78892665,97.86674075,94.66867129,95.93756938,95.94879099,96.79854231,96.45897772,100.6711913,103.4183593,103.106123,101.858187,103.6708245,101.6306028,103.4484689,106.1633234,106.837719,110.9096332,108.3418354,103.679362,103.2965198,101.502765,98.34439539,98.49091551,99.3007683,102.8040985,103.9210181,102.8746275,102.0084288,102.5712178,102.7406969,103.5908617,100,100.2554343,98.39036195,100.502068,101.8196679,98.33208358,99.87642587,100.9874101,102.8452965,101.7305319,103.6770313,103.9912003,102.686275,106.6383472
Azerbaijan,AZE,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
